ID,開始時刻,完了時刻,メール,名前,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),あなたの学年を教えてください,あなたの学校種を教えてください,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください(例:1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0)","LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)でどれくらい利用していますか","LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)","今年度、 LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの程度使いこなすことができましたか",BookRollでよく使う機能を選んでください(複数選択(せんたく)可),分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),教材や問題を見るため,自分の解答や学び方を振(ふ)り返るため,クラスの人の考えを参考にするため,クラスの人の学び方を参考にするため,AIによる問題推薦(すいせん)やアドバイスを受けるため,理解度が高まったと感じる,勉強を効率よく短時間で行えるようになった,根拠(こんきょ)に基づいた勉強計画や復習を行えるようになった,分析(ぶんせき)ツールを使用することで自分の学習方法に変化が生じた,自分に合った学びを実現する助けになったと感じる,自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,他の人と協力しながら学ぶ助けになったと感じる,自分で課題を設定して追究していく学びの助けになったと感じる,使い方・操作(そうさ)手順がわかりやすい,LEAFシステムに満足している,自由記述,宿題を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),予習・復習を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),学校の勉強以外を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),自分の勉強の仕方を振(ふ)り返る時間 1週間あたり【 】時間 (※半角数字で入力してください),勉強の計画を立てる時間 1週間あたり【 】時間 (※半角数字で入力してください),学校が、タブレットなどを使ってみんなが勉強した記録を調べて、一人一人に合った勉強の仕方を教えることについてどう思いますか?,学校が、タブレットなどを使ってみんなが勉強した記録を名前は分からない形で集計して、授業をよくすることについてどう思いますか?,"学校が、タブレットなどを使ってみんなの勉強した記録を調べて,一人一人に合った進学や将来(しょうらい)の仕事についてのアドバイスをすることをどう思いますか?",アプリの会社が、タブレットなどを使って勉強した記録を調べて、一人一人に合った問題を出題したりアドバイスをすることについてどう思いますか?,"アプリの会社が、タブレットなどを使って勉強した記録を調べて,名前は分からない形で集めて、問題やアドバイスなどを良くすることについてどう思いますか?",みんなやその家族が、学校でコンピュータを使って勉強した小学校から中学校までを記録したデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,みんなやその家族が、学校でコンピュータを使って勉強した小学校から大人になってからまでの一生の記録のデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から中学校までの勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から大人になってからの学びも含(ふく)めた一生の勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,学校が、顔の動画を分析(ぶんせき)できるコンピュータを使って、みんなの眼の動きを調べて、授業に集中できていない子、なやんでいる子を見つけて、相談にのることについてどう思いますか?,is_combined_jhs_hs,school_geo_prefix,学校種_canon,学校名_canon,学年_canon,利用期間_years,利用期間_months,利用期間_total_months,level_filled_from_grade,needs_manual_level,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校)_canon,respondent_id
12,2025-01-27 08:18:36,2025-01-27 08:25:16,anonymous,,洗足学園中学校,中学校3年生,中学校,0/5,1週間に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,少しあてはまる,使っていない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あてはまらない,あまりあてはまらない,BookRollのマーカーをもっと引きやすくしてほしいです。,2.0,1.0,0.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,0,5,5,False,False,洗足学園中学校,11
13,2025-01-27 08:21:52,2025-01-27 08:27:08,anonymous,,洗足学園中学校,中学校3年生,中学校,0/9,1週間に数回程度,算数・数学;外国語,使いこなすことができた,マーカー;クイズ;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,,1.0,1.0,0.0,0.0,0.0,どちらかというと賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,質問の意味がわからない,False,,中学校,洗足学園中学校,中3,0,9,9,False,False,洗足学園中学校,12
14,2025-01-27 08:23:52,2025-01-27 08:29:51,anonymous,,洗足学園中学校,中学校3年生,中学校,0/6,ほとんど使用していない,算数・数学;外国語,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまらない,あてはまらない,あてはまらない,使っていない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,BookRollが重い。とにかく動作が重い。,14.0,2.0,0.0,1.0,3.0,どちらかというと賛成である,賛成である,反対である,どちらかというと賛成である,強く賛成である,どちらかというと賛成である,どちらかというと反対である,強く賛成である,強く賛成である,強く反対である,False,,中学校,洗足学園中学校,中3,0,6,6,False,False,洗足学園中学校,13
15,2025-01-27 08:27:15,2025-01-27 08:30:20,anonymous,,洗足学園中学校,中学校3年生,中学校,0/9,1ヶ月に数回程度,算数・数学;外国語,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまらない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,18.0,8.0,1.0,0.0,0.0,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,0,9,9,False,False,洗足学園中学校,14
16,2025-01-27 08:26:26,2025-01-27 08:32:30,anonymous,,洗足学園中学校,中学校3年生,中学校,5,ほとんど使用していない,算数・数学,システムそのものがよくわからない,ほとんど使ったことがない;,ほとんど使ったことがない;,あまり使用しない,全く使用しない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,使っていない,あてはまらない,あてはまらない,使っていない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,,0.5,0.0,0.5,0.0,0.2,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,5,0,60,False,False,洗足学園中学校,15
17,2025-01-27 09:05:54,2025-01-27 09:11:54,anonymous,,洗足学園中学校,中学校3年生,中学校,0/9,1ヶ月に数回程度,外国語,あまり使いこなすことができなかった,マーカー;クイズ;,マーカー分析(ぶんせき);,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あてはまらない,あてはまらない,使っていない,少しあてはまる,あまりあてはまらない,,1.0,0.0,0.0,0.0,0.0,強く賛成である,賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,どちらかというと反対である,どちらかというと反対である,賛成である,賛成である,質問の意味がわからない,False,,中学校,洗足学園中学校,中3,0,9,9,False,False,洗足学園中学校,16
18,2025-01-27 08:22:33,2025-01-27 09:42:52,anonymous,,洗足学園中学校高等学校,中学校3年生,高等学校,10ヶ月,1ヶ月に数回程度,算数・数学,まったく使いこなすことができなかった,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,4.0,1.0,3.0,1.0,0.5,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,False,,高等学校,洗足学園中学校高等学校,中3,0,10,10,False,False,洗足学園中学校,17
19,2025-01-27 09:39:07,2025-01-27 09:43:30,anonymous,,洗足学園中学校高等学校,中学校3年生,中学校,0/8,1週間に数回程度,算数・数学,使いこなすことができた,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,12.0,6.0,1.0,0.0,2.0,どちらかというと賛成である,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,質問の意味がわからない,質問の意味がわからない,どちらかというと賛成である,どちらかというと賛成である,反対である,False,,中学校,洗足学園中学校高等学校,中3,0,8,8,False,False,洗足学園中学校,18
20,2025-01-27 09:43:40,2025-01-27 10:02:19,anonymous,,洗足学園中学校,中学校3年生,中学校,1/0,ほとんど使用していない,算数・数学,まったく使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,,7.0,6.0,1.0,0.0,1.0,賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,どちらかというと反対である,どちらかというと反対である,反対である,False,,中学校,洗足学園中学校,中3,1,0,12,False,False,洗足学園中学校,19
21,2025-01-27 09:54:13,2025-01-27 10:06:05,anonymous,,洗足学園中学校,中学校3年生,中学校,0/4,1週間に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,少しあてはまる,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,少しあてはまる,,10.0,0.0,0.0,0.0,1.0,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと反対である,賛成である,賛成である,どちらかというと反対である,どちらかというと反対である,反対である,False,,中学校,洗足学園中学校,中3,0,4,4,False,False,洗足学園中学校,20
22,2025-01-27 09:59:03,2025-01-27 10:07:33,anonymous,,洗足学園中学校,中学校3年生,中学校,1/0,1ヶ月に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;,マーカー分析(ぶんせき);,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,,8.0,1.0,0.0,0.0,0.5,賛成である,賛成である,賛成である,賛成である,賛成である,強く賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,どちらかというと反対である,False,,中学校,洗足学園中学校,中3,1,0,12,False,False,洗足学園中学校,21
23,2025-01-27 10:11:04,2025-01-27 10:57:38,anonymous,,洗足学園中学校,中学校3年生,中学校,0/4,1ヶ月に数回程度,算数・数学,使いこなすことができた,マーカー;,ほとんど使ったことがない;,使用することがある,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あてはまらない,あてはまらない,使っていない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,少しあてはまる,,7.0,5.0,2.0,1.0,0.5,賛成である,賛成である,どちらかというと賛成である,強く賛成である,強く賛成である,賛成である,質問の意味がわからない,どちらかというと賛成である,賛成である,どちらかというと反対である,False,,中学校,洗足学園中学校,中3,0,4,4,False,False,洗足学園中学校,22
24,2025-01-27 11:43:44,2025-01-27 11:48:57,anonymous,,洗足学園中学校,中学校3年生,中学校,0/6,1ヶ月に数回程度,外国語,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,あてはまらない,使っていない,,3.0,0.0,0.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,0,6,6,False,False,洗足学園中学校,23
25,2025-01-27 08:27:51,2025-01-27 12:17:22,anonymous,,洗足学園中学校,中学校3年生,中学校,5ヶ月,1週間に数回程度,算数・数学;外国語,あまり使いこなすことができなかった,マーカー;クイズ;,ほとんど使ったことがない;,使用することがある,使用することがある,全く使用しない,あまり使用しない,あまり使用しない,少しあてはまる,あまりあてはまらない,あてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,あてはまらない,少しあてはまる,,5.0,3.0,6.0,0.5,0.25,反対である,どちらかというと賛成である,反対である,反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,強く反対である,False,,中学校,洗足学園中学校,中3,0,5,5,False,False,洗足学園中学校,24
26,2025-01-27 11:13:20,2025-01-27 12:33:54,anonymous,,洗足学園中学校,中学校3年生,中学校,0/4,1週間に数回程度,算数・数学,使いこなすことができた,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,,3.0,1.0,0.0,1.0,1.0,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,0,4,4,False,False,洗足学園中学校,25
27,2025-01-27 12:36:02,2025-01-27 12:38:52,anonymous,,洗足学園中学校,中学校3年生,中学校,一週間に一度ほど,1週間に数回程度,算数・数学;外国語,あまり使いこなすことができなかった,マーカー;,マーカー分析(ぶんせき);ほとんど使ったことがない;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,,25.0,5.0,0.0,0.0,0.0,強く賛成である,強く反対である,どちらかというと反対である,どちらかというと反対である,どちらかというと反対である,強く反対である,強く反対である,強く反対である,強く反対である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,,,,False,False,洗足学園中学校,26
28,2025-01-27 08:13:34,2025-01-27 12:54:32,anonymous,,洗足学園中学校,中学校3年生,中学校,0/0,ほとんど使用していない,算数・数学,あまり使いこなすことができなかった,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,,15.0,2.0,0.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である,反対である,どちらかというと賛成である,反対である,反対である,False,,中学校,洗足学園中学校,中3,0,0,0,False,False,洗足学園中学校,27
29,2025-01-27 13:29:41,2025-01-27 13:44:40,anonymous,,天塩高等学校,高校3年生,高等学校,0/3,ほとんど使用していない,算数・数学,あまり使いこなすことができなかった,手書き;,ほとんど使ったことがない;,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,あまりあてはまらない,あてはまらない,あてはまらない,使っていない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,あまりあてはまらない,画面を大きくする時の操作方法をボタンを明日やるんじゃなくて指でアップするやつにしてほしい。ペンで書く時文字がカクカクしたり書いてないところにまで線が伸びたりしていた。指でかけるのもいいけどペンでできるのと指でできるボタンを作ってほしいどっちも線をかけるのはやりにくい。,1.0,18.0,6.0,1.0,0.5,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと反対である,False,,高等学校,天塩高等学校,高3,0,3,3,False,False,北海道天塩高等学校,28
